author_id,lname,fname
27804,Caprini,Irinel
15786,Stewart,A. M.
50395,Parisi,G.
9422,Zhang,Xin
11338,Belitz,D.
11339,Kirkpatrick,T. R.
17024,Cabello,Adan
8958,Sarma,S. Das
44032,Fring,Andreas
10107,Hirschfeld,P. J.
11178,Lin,C. T.
5090,Mitra,P.
49281,Goldman,T.
126060,Koyama,Tomio
35739,Diosi,Lajos
132580,Hughes,S.
64665,Pathak,P. K.
25543,Phillips,Philip
100457,Chitambar,Eric
159740,Miller,Carl A.
37602,Shi,Yaoyun
16020,Efetov,K. B.
61108,Sotiriou,Thomas P.
15224,Lyanda-Geller,Y.
47277,Dwivedi,B. N.
47278,Pandey,V. S.
51067,McDonald,John
81191,Kastner,R. E.
21700,Sawatzky,G. A.
37887,Troyer,Matthias
102873,Antonsen,Thomas M.
1398,Ott,Edward
15773,Visser,Matt
27736,Cho,Won Sang
154162,Abhinav,Kumar
7642,Panigrahi,Prasanta K.
82123,Macke,Bruno
82124,Ségard,Bernard
136869,Kato,Yasuyuki
98918,Kawashima,Naoki
81073,Trivedi,Nandini
115183,Zhou,Qi
26167,Brevik,I.
84510,Milton,K. A.
17377,Berthier,Ludovic
26698,Falkovsky,L. A.
217259,Ramasubramaniam,Ashwin
95803,Bender,C. M.
156237,Klevansky,S. P.
178388,Brachet,Marc
58376,Krstulovic,Giorgio
28878,Rothstein,Ira Z.
64256,Benichou,O.
64260,Voituriez,R.
40289,Kominis,I. K.
103946,Plunk,G. G.
93,Tatsuno,T.
193770,Qureshi,Tabish
17336,Harima,Hisatomo
19912,Friedrich,J. M.
165563,Badurek,Gerald
293163,Erhart,Jacqueline
93789,Hasegawa,Yuji
15346,Ozawa,Masanao
165565,Sponar,Stephan
293164,Sulyok,Georg
30249,Rupp,George
30250,van Beveren,Eef
116539,Li,B.
113884,Lü,C.
138855,Hossenfelder,Sabine
10308,Miller,Gerald A.
7733,Newman,C. M.
31076,Stein,D. L.
2271,Wang,Anzhong
520,König,Jürgen
114070,MacDonald,Allan H.
43169,Allahverdyan,A. E.
43171,Nieuwenhuizen,Th. M.
16234,Rice,T. M.
20275,Kontani,Hiroshi
40205,Chou,F. C.
77224,Sauls,J. A.
58061,Bodea,D.
43030,Crisan,M.
43031,Grosu,I.
12313,Aoki,Y.
20452,Sato,H.
20454,Sugawara,H.
48113,Hu,Xiao
45383,Bramwell,S. T.
67397,Schadschneider,Andreas
92510,Schreckenberg,Michael
5428,Devreese,J. T.
13257,Bouchaud,Jean-Philippe
48772,Zheng,B.
4578,Dukelsky,J.
6297,Sierra,G.
74220,Cazalilla,M. A.
10979,Marston,J. B.
7891,Keimer,B.
22042,Parisi,Giorgio
10859,Hanke,W.
22346,Scalapino,D. J.
46894,Dhar,Abhishek
34494,Wolynes,Peter G.
34051,Gershenson,M. E.
55788,Andersen,O. K.
62557,Jepsen,O.
21975,Wang,Yupeng
40780,Hirsch,J. E.
38761,Prokof'ev,Nikolay
38762,Svistunov,Boris
27551,Assaad,F. F.
42537,Klein,Lior
108601,Duval,C.
108602,Horváth,Z.
190271,Martina,L.
363156,Stichel,P.
39264,Hulet,Randall G.
364954,Kamar,Ramsey I.
181860,Li,Wenhui
181861,Liao,Yean-an
180392,Partridge,Guthrie B.
8732,Golubov,A. A.
7143,Volovik,G. E.
87859,Flatté,Michael E.
365898,Hall,Kimberley C.
45348,van Dongen,P. G. J.
5452,Cardy,John
369764,Lee,Benjamin P.
6485,Herbut,Igor F.
6463,Bürki,J.
83076,Stafford,C. A.
28269,Ranninger,J.
9818,Marinari,E.
346816,Golubev,Dmitrii S.
29180,Zaikin,Andrei D.
49729,Woelfle,P.
67950,Moore,M. A.
36680,Barthelemy,Marc
2078,Gefen,Yuval
8363,Schön,Gerd
33051,Levin,Janna
100290,Hayward,Sean A.
381355,Goncalves,Sergio M. C. V.
15087,Harko,T.
13671,Hod,Shahar
17067,Yi,Piljin
7544,Hartle,James B.
14847,Deser,S.
46139,Kent,Adrian
9734,Martin,Jerome
22184,Schwarz,Dominik J.
115856,Harney,H. L.
106746,Klapdor-Kleingrothaus,H. V.
388472,Isgur,Nathan
8808,Sokal,Alan D.
322529,Volkas,R. R.
123780,Akhmedov,E. Kh.
795,Voloshin,M. B.
23820,Ananthanarayan,B.
7508,Thomas,A. W.
44672,Kuznetsov,A. V.
44673,Mikheev,N. V.
133201,Attaourti,Y.
133203,Manaut,B.
95502,Catani,Stefano
19039,Heinz,Ulrich
14750,Zhuang,Pengfei
392087,Sanchis-Lozano,Miguel A.
392385,Eletsky,V. L.
116583,Ioffe,B. L.
42635,Mohanty,Subhendra
27478,Penin,A. A.
73759,Pivovarov,A. A.
101221,Gaillard,Mary K.
47924,Hagen,C. R.
17019,Milton,Kimball A.
159117,Hansson,Johan
8325,Bender,Carl M.
5733,Brody,Dorje C.
53012,Jones,Hugh F.
16834,Das,Ashok
46690,Preskill,John
46977,Wilczek,Frank
2441,Khriplovich,I. B.
16630,Gitman,D. M.
397872,Goncalves,A. E.
65486,Tyutin,I. V.
5089,Ghosh,A.
118451,Dine,M.
383630,Antonuccio,F.
151257,Pinsky,S.
401811,TSUJIMARU,S.
332,Cadoni,Mariano
181778,Mignemi,Salvatore
40958,Sjöqvist,Erik
23886,Birse,Michael C.
66403,Dvoeglazov,Valeri V.
37348,Franklin,Jerrold
12760,Ivezi?,Tomislav
78334,Gao,Fei
435812,Guo,Fenzhuo
190947,Wen,Qiaoyan
435813,Zhu,Fuchen
20682,Kok,Pieter
20887,Poulin,David
2968,Geyer,B.
2969,Klimchitskaya,G. L.
2970,Mostepanenko,V. M.
2431,Guo,Guang-Can
5606,Helayel-Neto,J. A.
40501,Li,Chuan-Feng
15254,Zhang,Yong-Sheng
16379,Brun,Todd A.
30976,Lidar,Daniel A.
66999,Chau,H. F.
35724,Brevik,Iver
24472,Habib,Salman
24151,Chandra,Suresh
24152,Kumthekar,B. K.
30939,Seiberg,Nathan
84173,Crutcher,Richard M.
110434,Hakobian,Nicholas
84174,Troland,Thomas H.
19220,Kleinert,Hagen
42789,Unsal,Mithat
5902,Miley,H. S.
16764,Collar,J. I.
286274,Evesque,P.
126221,Giunti,C.
20945,Van Raamsdonk,Mark
397874,Kutasov,D.
47187,Tye,S. -H. Henry
26036,Terashima,Seiji
19274,Adam,C.
59691,Auerbach,N.
108133,Zamick,L.
42803,Epelbaum,Evgeny
419842,Glöckle,Walter
1241,Meißner,Ulf-G.
109323,Costa,A.
57790,Belgiorno,F.
70884,Andrade,J. S.
130239,Curado,E. M. F.
218307,da Silva,G. F. T.
168174,Moreira,A. A.
54038,Nobre,F. D.
50684,Reynaud,Serge
26096,Wolf,Peter
1248,Kavoulakis,G. M.
343911,Brosens,F.
343912,Lemmens,L. F.
115604,Ala-Nissila,T.
346293,Alava,M.
