co1,score,co2,article_id,date
93,7,87,44,2007-03-31
93,9,88,44,2007-03-31
93,5,89,44,2007-03-31
93,7,90,44,2007-03-31
93,4,91,44,2007-03-31
93,8,92,44,2007-03-31
93,7,87,37248,2007-11-27
93,9,88,37248,2007-11-27
93,5,89,37248,2007-11-27
93,7,90,37248,2007-11-27
93,4,91,37248,2007-11-27
93,8,92,37248,2007-11-27
93,7,87,67083,2008-06-05
93,9,88,67083,2008-06-05
93,5,89,67083,2008-06-05
93,7,90,67083,2008-06-05
93,4,91,67083,2008-06-05
93,8,92,67083,2008-06-05
93,7,103946,67083,2008-06-05
93,9,88,84238,2008-09-23
93,5,89,84238,2008-09-23
93,8,92,84238,2008-09-23
93,1,114016,84238,2008-09-23
93,3,114017,84238,2008-09-23
93,1,120001,84238,2008-09-23
93,1,120002,84238,2008-09-23
93,2,120003,84238,2008-09-23
93,7,87,93891,2008-11-16
93,9,88,93891,2008-11-16
93,7,90,93891,2008-11-16
93,8,92,93891,2008-11-16
93,7,103946,93891,2008-11-16
93,3,114017,93891,2008-11-16
93,7,87,98620,2008-12-12
93,9,88,98620,2008-12-12
93,5,89,98620,2008-12-12
93,7,90,98620,2008-12-12
93,4,91,98620,2008-12-12
93,8,92,98620,2008-12-12
93,7,87,115937,2009-04-01
93,8,92,115937,2009-04-01
93,7,103946,115937,2009-04-01
93,7,87,178768,2010-03-20
93,9,88,178768,2010-03-20
93,7,90,178768,2010-03-20
93,8,92,178768,2010-03-20
93,7,103946,178768,2010-03-20
93,3,114017,178768,2010-03-20
93,2,198140,178768,2010-03-20
93,7,103946,203057,2010-07-27
93,7,103946,265576,2011-06-05
93,9,88,276872,2011-07-28
93,7,90,276872,2011-07-28
93,1,33142,276872,2011-07-28
93,2,120003,276872,2011-07-28
93,2,198140,276872,2011-07-28
93,9,88,345715,2012-06-04
93,7,103946,345715,2012-06-04
93,2,81717,357448,2000-08-15
93,2,152756,357448,2000-08-15
93,2,81717,728481,2002-10-26
93,2,152756,728481,2002-10-26
93,1,424342,728481,2002-10-26
93,3,121833,731055,2004-05-18
93,1,147209,731055,2004-05-18
93,2,425883,731055,2004-05-18
93,3,425923,731055,2004-05-18
93,3,121833,731641,2004-09-14
93,3,425923,731641,2004-09-14
93,3,121833,737250,2006-08-31
93,2,425883,737250,2006-08-31
93,3,425923,737250,2006-08-31
93,1,429850,737250,2006-08-31
332,3,17360,22798,2007-09-04
332,4,31452,22798,2007-09-04
332,7,48027,22798,2007-09-04
332,1,61151,31423,2007-10-24
332,1,61152,31423,2007-10-24
332,1,61153,31423,2007-10-24
332,1,105639,68768,2008-06-17
332,3,17360,77748,2008-08-12
332,4,31452,77748,2008-08-12
332,7,48027,77748,2008-08-12
332,7,48027,99137,2008-12-16
332,7,48027,99489,2008-12-17
332,1,133291,99489,2008-12-17
332,3,17360,102093,2009-01-07
332,4,31452,102093,2009-01-07
332,7,48027,102093,2009-01-07
332,7,48027,162299,2009-12-17
332,1,51060,162299,2009-12-17
332,7,48027,244348,2011-02-18
332,10,181778,277009,2011-07-29
332,2,268673,277009,2011-07-29
332,10,181778,303855,2011-11-28
332,2,268673,303855,2011-11-28
332,10,181778,338451,2012-05-02
332,10,181778,527472,2005-03-14
332,10,181778,527680,2005-04-29
332,10,181778,532509,1995-05-19
332,10,181778,605624,2000-02-29
332,3,383610,606313,2000-05-19
332,3,383610,607013,2000-08-10
332,2,345194,607697,2000-10-27
332,2,345194,610113,2001-07-27
332,4,31452,633533,1994-06-09
332,3,383610,635236,1995-02-14
332,10,181778,644919,1998-10-30
332,10,181778,645643,1999-02-04
332,10,181778,647670,1999-10-28
520,23,519,204,2007-04-02
520,7,521,204,2007-04-02
520,8,12510,4651,2007-05-04
520,4,12511,4651,2007-05-04
520,1,18231,7203,2007-05-22
520,1,18232,7203,2007-05-22
520,12,18233,7203,2007-05-22
520,1,2417,26447,2007-09-26
520,5,53981,26447,2007-09-26
520,15,8363,40938,2007-12-18
520,2,73780,40938,2007-12-18
520,23,519,47720,2008-02-04
520,8,81870,47720,2008-02-04
520,23,519,48376,2008-02-08
520,7,521,48376,2008-02-08
520,4,12511,64875,2008-05-23
520,7,13433,64875,2008-05-23
520,23,519,66251,2008-06-02
520,7,521,66251,2008-06-02
520,4,103094,66251,2008-06-02
520,4,12511,96076,2008-11-28
520,4,12511,111906,2009-03-10
520,3,145519,111906,2009-03-10
520,23,519,112856,2009-03-16
520,1,146312,112856,2009-03-16
520,23,519,117381,2009-04-10
520,1,37780,117381,2009-04-10
520,23,519,141341,2009-08-31
520,3,168667,141341,2009-08-31
520,23,519,166980,2010-01-15
520,2,53552,166980,2010-01-15
520,8,81870,166980,2010-01-15
520,23,519,174416,2010-02-25
520,7,521,174416,2010-02-25
520,2,27827,174416,2010-02-25
520,5,198042,178629,2010-03-19
520,23,519,191613,2010-05-27
520,4,103094,191613,2010-05-27
520,23,519,194097,2010-06-09
520,7,521,194097,2010-06-09
520,1,210271,194097,2010-06-09
520,23,519,194283,2010-06-10
520,4,103094,194283,2010-06-10
520,5,198042,194283,2010-06-10
520,23,519,203258,2010-07-28
520,3,168667,203258,2010-07-28
520,5,198042,204739,2010-08-05
520,1,217937,204739,2010-08-05
520,5,198042,215091,2010-09-29
520,23,519,273069,2011-07-11
520,4,103094,273069,2011-07-11
520,1,266005,273069,2011-07-11
520,23,519,275266,2011-07-21
520,8,81870,275266,2011-07-21
520,3,168667,275266,2011-07-21
520,3,145519,289206,2011-09-27
520,6,2078,292933,2011-10-12
520,5,198042,292933,2011-10-12
520,23,519,301409,2011-11-17
520,2,53552,301409,2011-11-17
520,8,81870,301409,2011-11-17
520,1,285291,301409,2011-11-17
520,23,519,316057,2012-01-24
520,2,95046,316057,2012-01-24
520,7,13433,324069,2012-02-28
520,2,95046,324069,2012-02-28
520,1,191805,324069,2012-02-28
520,1,216707,324069,2012-02-28
520,23,519,342952,2012-05-22
520,8,81870,342952,2012-05-22
520,3,145519,346085,2012-06-05
520,4,90442,433484,2000-01-21
520,7,114070,433484,2000-01-21
520,6,2078,436079,2000-06-27
520,4,90442,437608,2000-09-28
520,7,114070,437608,2000-09-28
520,2,18182,437672,2000-10-02
520,4,90442,437672,2000-10-02
520,7,114070,437672,2000-10-02
520,4,90442,438107,2000-10-29
520,7,114070,438107,2000-10-29
520,7,114070,438644,2000-11-29
520,1,347107,438644,2000-11-29
520,6,10404,438903,2000-12-13
520,2,18182,438903,2000-12-13
520,6,10404,440318,2001-03-05
520,1,151750,440318,2001-03-05
520,1,13202,441332,2001-04-25
520,12,18233,441332,2001-04-25
520,6,10404,442716,2001-06-30
520,1,32266,442716,2001-06-30
520,6,2078,443156,2001-07-21
520,5,53981,444974,2001-10-24
520,6,10404,446368,2002-01-10
520,1,21649,446368,2002-01-10
520,2,21937,446368,2002-01-10
520,2,21940,446368,2002-01-10
520,9,177866,453575,2002-12-11
520,5,53981,453858,2002-12-20
520,23,519,453882,2002-12-23
520,7,521,453882,2002-12-23
520,2,102070,453882,2002-12-23
520,15,8363,455225,2003-02-28
520,1,76193,455225,2003-02-28
520,1,354909,455225,2003-02-28
520,6,10404,456658,2003-05-05
520,1,355520,456658,2003-05-05
520,7,114070,457938,2003-06-25
520,23,519,458407,2003-07-15
520,7,521,458407,2003-07-15
520,2,102070,458407,2003-07-15
520,1,109277,458407,2003-07-15
520,1,47015,461961,2003-12-14
520,7,114070,461961,2003-12-14
520,8,12510,464900,2004-04-20
520,9,177866,464900,2004-04-20
520,3,7171,464954,2004-04-21
520,15,8363,464954,2004-04-21
520,9,177866,464954,2004-04-21
520,6,2078,468000,2004-08-24
520,1,8457,468000,2004-08-24
520,6,2078,468183,2004-08-31
520,8,12510,470233,2004-11-18
520,9,177866,470233,2004-11-18
520,8,12510,470318,2004-11-22
520,9,177866,470318,2004-11-22
520,3,7171,470951,2004-12-16
520,15,8363,470951,2004-12-16
520,2,177370,470951,2004-12-16
520,9,177866,470951,2004-12-16
520,6,10404,474508,2005-05-09
520,1,12094,474508,2005-05-09
520,1,12095,474508,2005-05-09
520,1,12096,474508,2005-05-09
520,1,12097,474508,2005-05-09
520,1,12101,474508,2005-05-09
520,1,21647,474508,2005-05-09
520,2,21937,474508,2005-05-09
520,2,21940,474508,2005-05-09
520,1,32267,474508,2005-05-09
520,1,45537,474508,2005-05-09
520,1,101358,474508,2005-05-09
520,1,354091,474508,2005-05-09
520,23,519,475145,2005-06-03
520,7,13433,475145,2005-06-03
520,8,81870,475145,2005-06-03
520,3,7171,476237,2005-07-15
520,15,8363,476237,2005-07-15
520,2,177370,476237,2005-07-15
520,9,177866,476237,2005-07-15
520,7,13433,476407,2005-07-22
520,2,27827,476407,2005-07-22
520,8,12510,477067,2005-08-19
520,1,45127,477067,2005-08-19
520,1,149044,477067,2005-08-19
520,5,53981,479244,2005-11-08
520,1,199351,479244,2005-11-08
520,8,12510,480315,2005-12-20
520,9,177866,480315,2005-12-20
520,8,12510,480892,2006-01-17
520,9,177866,480892,2006-01-17
520,8,12510,481133,2006-01-26
520,5,53981,481869,2006-02-27
520,23,519,483157,2006-04-14
520,7,13433,483157,2006-04-14
520,8,81870,483157,2006-04-14
520,23,519,489325,2006-12-11
520,7,13433,489325,2006-12-11
520,1,47016,489325,2006-12-11
520,8,81870,489325,2006-12-11
520,15,8363,489520,2006-12-18
520,1,22212,489520,2006-12-18
520,2,73780,489520,2006-12-18
520,15,8363,494331,1995-01-09
520,7,13433,494331,1995-01-09
