commented_id,score,commenter_id,commented_aid,commenter_aid,date
27804,1,3833,577470,1337,2007-04-10
347230,1,15224,480060,5818,2007-05-13
72170,1,15224,480060,5818,2007-05-13
138952,1,15224,480060,5818,2007-05-13
362799,1,15224,480060,5818,2007-05-13
394021,1,27804,578543,11601,2007-06-20
272954,1,27804,578543,11601,2007-06-20
15786,1,38551,6084,17303,2007-07-27
5483,1,2968,7796,19400,2007-08-11
5483,1,2969,7796,19400,2007-08-11
5483,1,2970,7796,19400,2007-08-11
19863,1,2968,7796,19400,2007-08-11
19863,1,2969,7796,19400,2007-08-11
19863,1,2970,7796,19400,2007-08-11
50395,1,31852,485417,23160,2007-09-06
50395,1,3635,485417,23160,2007-09-06
48320,1,40780,22991,23546,2007-09-10
9422,1,49802,19260,23896,2007-09-11
35101,1,19274,15378,31036,2007-10-22
35102,1,19274,15378,31036,2007-10-22
80777,1,9422,627188,33560,2007-11-05
3225,1,9422,627188,33560,2007-11-05
34894,1,64256,491484,34691,2007-11-12
34894,1,64260,491484,34691,2007-11-12
34898,1,64256,491484,34691,2007-11-12
34898,1,64260,491484,34691,2007-11-12
11338,1,68083,66628,36440,2007-11-22
11339,1,68083,66628,36440,2007-11-22
17024,1,78606,745098,44834,2008-01-16
17024,1,78607,745098,44834,2008-01-16
8958,1,52062,759825,46948,2008-01-30
8958,1,52063,759825,46948,2008-01-30
8958,1,34153,759825,46948,2008-01-30
60133,1,5733,31162,53742,2008-03-13
20559,1,28269,54813,55757,2008-03-27
20560,1,28269,54813,55757,2008-03-27
20562,1,28269,54813,55757,2008-03-27
20564,1,28269,54813,55757,2008-03-27
35638,1,28269,54813,55757,2008-03-27
1684,1,28269,54813,55757,2008-03-27
20567,1,28269,54813,55757,2008-03-27
76964,2,2968,43611,56008,2008-03-29
76964,2,2969,43611,56008,2008-03-29
76964,2,2970,43611,56008,2008-03-29
44031,1,95803,761525,59767,2008-04-22
44032,1,95803,761525,59767,2008-04-22
44032,1,95804,761525,59767,2008-04-22
44032,1,36659,761525,59767,2008-04-22
44032,1,95805,761525,59767,2008-04-22
10107,1,6323,42415,60451,2008-04-25
11178,1,22745,477600,61497,2008-05-02
2370,1,38761,62672,63756,2008-05-16
2370,1,38762,62672,63756,2008-05-16
2370,1,37887,62672,63756,2008-05-16
2693,1,38761,62672,63756,2008-05-16
2693,1,38762,62672,63756,2008-05-16
2693,1,37887,62672,63756,2008-05-16
5090,1,5089,7744,65480,2008-05-28
5090,1,5090,7744,65480,2008-05-28
49281,1,20057,23550,71693,2008-07-04
30954,1,27736,581747,80336,2008-08-30
27779,1,27736,581747,80336,2008-08-30
16610,1,6485,26511,81018,2008-09-03
75768,1,15087,58420,82603,2008-09-12
2533,2,2968,39317,88802,2008-10-17
2533,2,2969,39317,88802,2008-10-17
2533,2,2970,39317,88802,2008-10-17
71707,2,2968,39317,88802,2008-10-17
71707,2,2969,39317,88802,2008-10-17
71707,2,2970,39317,88802,2008-10-17
15114,2,2968,39317,88802,2008-10-17
15114,2,2969,39317,88802,2008-10-17
15114,2,2970,39317,88802,2008-10-17
22002,2,2968,39317,88802,2008-10-17
22002,2,2969,39317,88802,2008-10-17
22002,2,2970,39317,88802,2008-10-17
2536,2,2968,39317,88802,2008-10-17
2536,2,2969,39317,88802,2008-10-17
2536,2,2970,39317,88802,2008-10-17
50681,1,2968,62854,88824,2008-10-17
50681,1,2969,62854,88824,2008-10-17
50681,1,2970,62854,88824,2008-10-17
76964,2,2968,62854,88824,2008-10-17
76964,2,2969,62854,88824,2008-10-17
76964,2,2970,62854,88824,2008-10-17
25698,1,2969,84194,88827,2008-10-17
25698,1,2970,84194,88827,2008-10-17
49281,1,4873,23550,90493,2008-10-27
105332,1,35724,68456,113488,2009-03-19
105333,1,35724,68456,113488,2009-03-19
105334,1,35724,68456,113488,2009-03-19
126059,1,48113,90848,115257,2009-03-29
126060,1,48113,90848,115257,2009-03-29
126060,1,48114,90848,115257,2009-03-29
48115,1,48113,90848,115257,2009-03-29
26966,1,132580,29256,125044,2009-05-27
26966,1,64665,29256,125044,2009-05-27
26967,1,132580,29256,125044,2009-05-27
26967,1,64665,29256,125044,2009-05-27
24518,1,132580,29256,125044,2009-05-27
24518,1,64665,29256,125044,2009-05-27
33880,1,132580,29256,125044,2009-05-27
33880,1,64665,29256,125044,2009-05-27
33881,1,132580,29256,125044,2009-05-27
33881,1,64665,29256,125044,2009-05-27
58157,1,132580,29256,125044,2009-05-27
58157,1,64665,29256,125044,2009-05-27
25895,1,8325,103132,129872,2009-06-23
25895,1,53012,103132,129872,2009-06-23
35739,1,8577,124532,134211,2009-07-17
